Cod_Estable,Cod_Evaluacion,Cantidad_Estud,Num_Boleta,Barcode,Tipo_Eval,Corr_Año,Region,Cod_Region,Departamento,Cod_Depa,Municipio,Cod_Muni,Nivel,Cod_Nivel,Rama_Abstracta,Cod_Rama_Abstracta,Edad,Edad_RECO,Sexo_RECO,Sector,Cod_Sector,Area,Cod_Area,Jornada,Cod_Jornada,Ciclo,Cod_Distrito,Identificacion_Etnica_RECO,Ed_Asistio_Preprimaria,Ed_Repitio_Algun_Grado,Ed_Trabaja_Actualmente,Fm_Asistio_Escuela_Papa,Fm_Grado_Alcanzo_Papa_RECO,Fm_Asistio_Escuela_Mama,Fm_Grado_Alcanzo_Mama_RECO,CC_Material_Predomina_En_Piso_Casa,CC_Material_Predomina_En_Paredes_Casa,CC_Material_Predomina_En_Techo_Casa,Sc_Drenaje,Sc_Electricidad,Sc_Basura,Sc_Servicio_Internet,Sc_Neflix,CU_Leña,CU_Gas,CU_Electricidad,Smart_Tv,Secadora,Refrigerador,Computadora,Horno_Microondas,Horno_Tostador,Lavadora,Impresora,CC_Familia_Automovil,Mate_Periodos_Matematicas_Semana,Lect_Periodos_Lectura_Semana,Lect_Libros_Completos_Ha_Leido,Lectura_Gusto,Lectura_Horas,Grad_No_Se,Grad_Seguir_Estudiando,Grad_Trabajar,Grad_Formar_Familia,Grad_Trabajar_Extranjero,Gustaria_Universidad,Informacion_Prueba,Measure_Mate,Measure_Lect,Desempeño_Mate,Desempeño_Lect,Logro_Mate,Logro_Lect
05-02-0232-46,1562619998,54,403946,051562619998,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,4,2,4,4,4,4,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,5,4,3,1,2,0,1,0,0,0,1,1,0.452,1.082,2,4,0,1
05-02-0232-46,1604034382,54,403980,051604034382,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,3,4,4,2,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,6,5,0,0,0,1,1,0,0,0,1,1,0.684,1.376,2,4,0,1
05-02-0232-46,1640155958,54,403988,051640155958,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,2,5,4,5,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,5,1,2,1,1,0,1,0,0,0,1,1,0.473,0.654,2,3,0,1
05-02-0232-46,1802576625,54,403995,051802576625,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,1,0,0,2,3,2,4,4,4,2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,5,4,1,1,1,0,1,1,0,0,1,1,-0.761,-0.458,1,1,0,0
05-02-0232-46,1861928788,54,403951,051861928788,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,18,3,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,1,0,1,2,2,2,5,4,5,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,5,5,4,1,2,0,1,1,0,0,1,1,1.09,0.455,3,2,1,0
05-02-0232-46,2046976521,54,403976,052046976521,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,1,0,2,4,2,2,5,4,2,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,5,5,1,1,1,0,1,1,0,0,1,1,-0.566,0.238,1,2,0,0
05-02-0232-46,2425603155,54,403996,052425603155,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,4,2,4,4,4,5,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,5,4,0,0,0,0,1,0,0,0,1,0,0.369,0.654,2,3,0,1
05-02-0232-46,2432913298,54,403949,052432913298,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,3,5,6,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,6,1,0,0,1,0,1,1,0,0,1,1,0.617,1.688,2,4,0,1
05-02-0232-46,2456374786,54,403970,052456374786,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,,1,2,0,0,2,3,2,4,5,4,5,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,5,5,2,1,0,0,1,0,0,0,1,1,1.089,1.343,3,4,1,1
05-02-0232-46,2506220624,54,403947,052506220624,1,2023,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,,2,2,0,0,2,3,2,3,5,4,2,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,5,4,0,0,1,0,1,0,0,0,1,1,-0.118,1.124,1,4,0,1
