Cod_Estable,Cod_Evaluacion,Cantidad_Estud,Num_Boleta,Barcode,Corr_Año,Region,Cod_Region,Departamento,Cod_Depa,Municipio,Cod_Muni,Nivel,Cod_Nivel,Rama_Abstracta,Cod_Rama_Abstracta,Edad,Edad_RECO,Sexo_RECO,Sector,Cod_Sector,Area,Cod_Area,Jornada,Cod_Jornada,Ciclo,Cod_Distrito,Identificacion_Etnica_RECO,Ed_Asistio_Preprimaria,Ed_Repitio_Algun_Grado,Ed_Trabaja_Actualmente,Fm_Asistio_Escuela_Papa,Fm_Grado_Alcanzo_Papa_RECO,Fm_Asistio_Escuela_Mama,Fm_Grado_Alcanzo_Mama_RECO,CC_Material_Predomina_En_Piso_Casa,CC_Material_Predomina_En_Paredes_Casa,CC_Material_Predomina_En_Techo_Casa,Sc_Drenaje,Sc_Electricidad,Sc_Basura,Sc_Servicio_Internet,Sc_Neflix,CU_Leña,CU_Gas,CU_Electricidad,Smart_Tv,Secadora,Refrigerador,Computadora,Horno_Microondas,Horno_Tostador,Lavadora,Impresora,CC_Familia_Automovil,Mate_Periodos_Matematicas_Semana,Lect_Periodos_Lectura_Semana,Lect_Libros_Completos_Ha_Leido,Lectura_Gusto,Lectura_Horas,Grad_No_Se,Grad_Seguir_Estudiando,Grad_Trabajar,Grad_Formar_Familia,Grad_Trabajar_Extranjero,Gustaria_Universidad,Informacion_Prueba,Measure_Mate,Measure_Lect,Desempeño_Mate,Desempeño_Lect,Logro_Mate,Logro_Lect
05-02-0232-46,1393874004,70,307100,051393874004,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,1,0,2,2,2,3,5,4,2,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,5,5,2,0,2,0,1,1,0,0,1,1,-0.501,0.794,1,3,0,1
05-02-0232-46,1624396343,70,307123,051624396343,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,4,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,5,5,1,0,1,0,1,0,0,0,1,1,2.137,2.98,4,4,1,1
05-02-0232-46,1880927306,70,307085,051880927306,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,3,2,0,0,2,3,2,2,4,4,2,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,5,5,1,1,1,1,0,0,0,0,1,1,0.452,1.159,2,4,0,1
05-02-0232-46,2023488827,70,307086,052023488827,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,4,5,4,2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,5,1,0,1,0,0,1,0,0,0,1,1,-0.523,-0.249,1,1,0,0
05-02-0232-46,2100171631,70,307078,052100171631,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,3,2,0,0,2,3,2,2,5,4,4,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,4,5,7,1,2,0,1,0,0,0,1,1,0.144,1.389,2,4,0,1
05-02-0232-46,2106212090,70,307134,052106212090,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,4,5,4,5,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,5,5,2,1,1,0,1,0,0,0,1,1,-0.236,0.6,1,3,0,1
05-02-0232-46,2325831754,70,307137,052325831754,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,4,5,4,2,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,5,5,2,1,1,0,0,1,0,0,1,1,-0.544,0.455,1,2,0,0
05-02-0232-46,2477774338,70,307135,052477774338,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,3,5,4,2,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,5,5,1,1,1,0,1,0,0,0,1,1,0.037,0.84,2,3,0,1
05-02-0232-46,2500028680,70,307112,052500028680,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,4,5,4,2,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,5,5,1,1,1,0,1,0,0,0,1,1,-0.739,0.113,1,2,0,0
05-02-0232-46,2511020582,70,307106,052511020582,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,3,5,4,5,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,5,1,1,1,1,0,1,0,0,0,1,1,0.278,1.154,2,4,0,1
05-02-0232-46,2595673498,70,307136,052595673498,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,4,5,4,2,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,5,5,3,1,2,0,1,1,0,0,1,1,1.616,1.517,4,4,1,1
05-02-0232-46,2729711230,70,307122,052729711230,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,1,2,4,2,4,5,5,5,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,4,2,2,1,1,0,1,0,0,0,1,1,1.641,0.664,4,3,1,1
05-02-0232-46,2756878150,70,307120,052756878150,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,1,0,0,2,2,4,5,4,2,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,5,2,2,1,1,0,0,1,0,0,1,1,1.007,1.852,2,4,0,1
05-02-0232-46,2902528591,70,307102,052902528591,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,4,5,4,4,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,5,1,4,1,1,0,1,0,0,0,1,1,0.364,2.974,2,4,0,1
05-02-0232-46,3048037903,70,307126,053048037903,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,4,6,6,5,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,6,6,1,0,1,0,1,0,0,0,1,1,-0.156,-0.711,1,1,0,0
05-02-0232-46,3121480057,70,307097,053121480057,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,1,2,0,0,2,4,2,3,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,7,5,0,0,1,0,1,0,0,0,1,1,-1.345,0.741,1,3,0,1
05-02-0232-46,3217221801,70,307128,053217221801,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,3,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,5,5,0,0,2,0,1,0,0,0,1,1,1.051,0.28,3,2,1,0
05-02-0232-46,3242685760,70,307087,053242685760,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,4,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,5,5,3,1,1,0,1,0,0,0,1,1,0.661,2.951,2,4,0,1
05-02-0232-46,3260836765,70,307107,053260836765,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,3,5,2,5,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,5,2,0,0,0,0,1,0,0,0,1,1,0.561,-0.089,2,2,0,0
05-02-0232-46,3284339591,70,307115,053284339591,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,3,4,4,2,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,5,5,2,1,2,0,1,1,0,0,1,1,0.35,0.455,2,2,0,0
05-02-0232-46,3611673155,70,307132,053611673155,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,1,2,3,2,3,5,4,5,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,5,5,1,0,0,0,1,1,0,0,1,1,1.641,0.761,4,3,1,1
05-02-0232-46,3625699545,70,307121,053625699545,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,2,5,4,2,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,5,1,1,1,1,0,1,1,0,0,1,1,-0.592,-0.066,1,2,0,0
05-02-0232-46,3907834732,70,307104,053907834732,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,4,5,4,2,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,5,5,2,1,1,0,1,0,0,0,1,1,-0.236,0.695,1,3,0,1
05-02-0232-46,4019902610,70,307105,054019902610,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,3,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,5,5,0,1,1,0,1,0,0,0,1,1,0.751,2.166,2,4,0,1
05-02-0232-46,4196693486,70,307090,054196693486,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,4,5,4,5,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,5,5,0,0,0,0,1,1,0,1,1,1,0.705,0.992,2,4,0,1
