Cod_Estable,Cod_Evaluacion,Cantidad_Estud,Num_Boleta,Barcode,Corr_Año,Region,Cod_Region,Departamento,Cod_Depa,Municipio,Cod_Muni,Nivel,Cod_Nivel,Rama_Abstracta,Cod_Rama_Abstracta,Edad,Edad_RECO,Sexo_RECO,Sector,Cod_Sector,Area,Cod_Area,Jornada,Cod_Jornada,Ciclo,Cod_Distrito,Identificacion_Etnica_RECO,Ed_Asistio_Preprimaria,Ed_Repitio_Algun_Grado,Ed_Trabaja_Actualmente,Fm_Asistio_Escuela_Papa,Fm_Grado_Alcanzo_Papa_RECO,Fm_Asistio_Escuela_Mama,Fm_Grado_Alcanzo_Mama_RECO,CC_Material_Predomina_En_Piso_Casa,CC_Material_Predomina_En_Paredes_Casa,CC_Material_Predomina_En_Techo_Casa,Sc_Drenaje,Sc_Electricidad,Sc_Basura,Sc_Servicio_Internet,Sc_Neflix,CU_Leña,CU_Gas,CU_Electricidad,Smart_Tv,Secadora,Refrigerador,Computadora,Horno_Microondas,Horno_Tostador,Lavadora,Impresora,CC_Familia_Automovil,Mate_Periodos_Matematicas_Semana,Lect_Periodos_Lectura_Semana,Lect_Libros_Completos_Ha_Leido,Lectura_Gusto,Lectura_Horas,Grad_No_Se,Grad_Seguir_Estudiando,Grad_Trabajar,Grad_Formar_Familia,Grad_Trabajar_Extranjero,Gustaria_Universidad,Informacion_Prueba,Measure_Mate,Measure_Lect,Desempeño_Mate,Desempeño_Lect,Logro_Mate,Logro_Lect
05-02-0232-46,5632763488,70,307131,055632763488,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,2,2,4,5,6,5,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,5,2,5,1,2,0,1,0,0,0,1,1,0.574,2.002,2,4,0,1
05-02-0232-46,5832658013,70,307114,055832658013,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,2,2,2,5,5,5,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,5,5,0,0,0,0,0,1,0,0,1,1,0.814,1.22,2,4,0,1
05-02-0232-46,5866807534,70,307079,055866807534,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,1,0,2,4,2,4,5,5,4,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,3,0,7,1,3,0,1,0,0,1,1,1,-0.241,0.326,1,2,0,0
05-02-0232-46,6239404555,70,307103,056239404555,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,4,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,5,1,3,0,1,0,1,0,0,0,1,1,0.483,-0.457,2,1,0,0
05-02-0232-46,6301984402,70,307096,056301984402,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,4,5,4,2,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,5,5,7,1,3,0,1,0,0,0,1,1,0.481,1.655,2,4,0,1
05-02-0232-46,6791526190,70,307110,056791526190,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,4,5,4,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,5,5,0,0,2,0,1,0,0,0,1,1,0.705,1.566,2,4,0,1
05-02-0232-46,6821767972,70,307109,056821767972,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,18,3,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,1,0,2,4,2,4,5,4,5,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,5,5,2,1,1,0,1,0,0,0,0,1,-0.624,-0.026,1,2,0,0
05-02-0232-46,6845880798,70,307083,056845880798,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,0,0,0,2,4,2,3,5,4,2,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,5,5,2,1,1,0,1,1,0,0,1,1,2,2.2,4,4,1,1
05-02-0232-46,7034972025,70,307119,057034972025,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,2,2,1,5,4,2,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,5,5,1,0,1,0,1,1,0,0,1,1,0.405,0.793,2,3,0,1
05-02-0232-46,7580118860,70,307139,057580118860,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,1,2,0,0,2,3,2,2,5,4,5,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,5,5,1,0,0,0,1,1,0,1,1,1,0.605,0.6,2,3,0,1
05-02-0232-46,7697330932,70,307084,057697330932,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,4,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,5,5,3,1,1,0,1,0,0,0,1,1,0.914,1.22,2,4,0,1
05-02-0232-46,7862084905,70,307088,057862084905,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,4,4,4,2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,6,5,1,1,2,0,1,1,0,0,1,1,1.363,1.268,3,4,1,1
05-02-0232-46,8009025942,70,307146,058009025942,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,3,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,5,5,1,1,0,0,1,0,0,0,1,1,0.781,1.969,2,4,0,1
05-02-0232-46,8174819195,70,307099,058174819195,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,4,5,4,3,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,5,3,3,1,1,0,1,0,0,0,1,1,0.304,-0.201,2,1,0,0
05-02-0232-46,8281528879,70,307125,058281528879,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,4,6,6,4,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,5,4,0,0,0,0,1,0,0,0,1,1,1.051,1.049,3,4,1,1
05-02-0232-46,8407574676,70,307095,058407574676,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,4,5,4,5,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,5,5,2,1,1,0,1,0,0,0,1,1,1.472,1.815,4,4,1,1
05-02-0232-46,8569939605,70,307080,058569939605,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,18,3,0,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,3,2,4,5,4,2,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,5,1,0,0,0,0,1,1,0,0,1,1,0.504,0.606,2,3,0,1
05-02-0232-46,8575770887,70,307081,058575770887,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,1,2,1,0,2,3,2,1,5,4,5,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,4,5,1,1,1,0,1,0,0,0,1,1,1.197,1.546,3,4,1,1
05-02-0232-46,8642169502,70,307117,058642169502,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,1,2,0,0,2,2,2,2,5,4,2,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,6,1,2,0,1,0,1,0,0,0,1,1,-0.064,0.455,1,2,0,0
05-02-0232-46,8701695277,70,307140,058701695277,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,3,1,4,2,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,4,5,2,1,2,0,1,1,0,0,1,1,0.605,1.204,2,4,0,1
05-02-0232-46,8814015017,70,307141,058814015017,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16,1,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,1,1,0,2,4,5,4,5,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,4,4,1,0,1,0,1,1,0,0,1,1,0.47,0.024,2,2,0,0
05-02-0232-46,9357138014,70,307113,059357138014,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,4,5,4,5,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,5,5,2,1,1,0,1,0,0,1,1,1,0.067,0.606,2,3,0,1
05-02-0232-46,9814811171,70,307082,059814811171,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,4,5,4,5,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,6,5,1,1,2,0,1,1,0,0,1,1,0.47,1.546,2,4,0,1
05-02-0232-46,9882787927,70,307108,059882787927,2024,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,17,2,1,Privado,22,Rural,12,Matutina,31,Anual,05-007,2,2,0,0,2,4,2,4,4,4,5,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,5,5,0,0,1,0,1,1,0,0,1,1,0.751,-0.249,2,1,0,0
